"gene","hgnc_symbol","description","gene_biotype"
"ENSG00000000003","TSPAN6","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]","protein_coding"
"ENSG00000000419","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]","protein_coding"
"ENSG00000000457","SCYL3","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]","protein_coding"
"ENSG00000000460","C1orf112","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]","protein_coding"
"ENSG00000000938","FGR","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]","protein_coding"
"ENSG00000000971","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]","protein_coding"
"ENSG00000001036","FUCA2","alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]","protein_coding"
"ENSG00000001084","GCLC","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]","protein_coding"
"ENSG00000001167","NFYA","nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]","protein_coding"
"ENSG00000001460","STPG1","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]","protein_coding"
"ENSG00000001461","NIPAL3","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]","protein_coding"
"ENSG00000001497","LAS1L","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]","protein_coding"
"ENSG00000001561","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]","protein_coding"
"ENSG00000001617","SEMA3F","semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]","protein_coding"
"ENSG00000001626","CFTR","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]","protein_coding"
"ENSG00000001629","ANKIB1","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]","protein_coding"
"ENSG00000001630","CYP51A1","cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]","protein_coding"
"ENSG00000001631","KRIT1","KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]","protein_coding"
"ENSG00000002016","RAD52","RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]","protein_coding"
"ENSG00000002330","BAD","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]","protein_coding"
